,,,,only coding,,"only coding, available sequence",,in GB,,,,,,,,,,,,,,,,,,,,,, ,, ,,
,Trebouxiophyceae,Myrmecia israelensis,M62995,49.3,0,,,,NC_025525 ,146596,30.4,52.65833,0,51.7,,,,,,Terrestrial,UTEX:1181,,"Negev Desert, Israel",33,3,71,,,"Mitzpe Ramon Climate, Weather By Month, Average Temperature (Israel) - Weather Spark",,,,,
,Trebouxiophyceae,Edaphochlorella mirabilis,KF673393,49.8,0,,,,NC_025528,167972,31.5,47.64544,0,50.6,,,,,,Terrestrial,"SAG 211-11r, cp = SAG:38.88",,"Russia, district of Nowgorod, soil from Mjakischevo",24,-13,374.1,,,"Nizhniy Novgorod Climate, Weather By Month, Average Temperature (Russia) - Weather Spark",,,,,
,Trebouxiophyceae,Koliella longiseta,HE610126,48.1,1,HE610126,51.7,0,NC_025531,197094,31.4,42.52996,0,50.7,,,,,,Freshwater,SAG 470-1 = UTEX 339 (cp data),,"Switzerland, Basel, Bot. Gard. Univ. Basel, water bloom small bog",26,-1,789.5,,,"Basel Climate, Weather By Month, Average Temperature (Switzerland) - Weather Spark",,,,,
,Trebouxiophyceae,Neocystis brevis,KM020044,49.5,0,,,,NC_025535,211747,31.4,37.6369,5,43.4,,,,,,Terrestrial,SAG 850-1 = CAUP D802,,"Switzerland, Unterengadin, acidic humus soil at Il Fuorn, Ofenpass 1800-1950m",25,-3,983.3,,,"Zürich Climate, Weather By Month, Average Temperature (Switzerland) - Weather Spark",,,,,
,Trebouxiophyceae,Planctonema lauterbornii,KY013475,50.2,0,,,,KM462880   ,114128,33.2,67.04314,1,52.2,,,,,,Freshwater,SAG:68.94,,"CA, Placer Co., lake Tahoe",27,-8,421.7,,,"South Lake Tahoe Climate, Weather By Month, Average Temperature (California, United States) - Weather Spark",,,,,
,Trebouxiophyceae,Chlorella variabilis,DQ057341,49.9,3,,,,NC_015359,124579,33.9,56.22296,3,,KP271968,78500,28.2,43,6,Freshwater,NC64A,,"location unknown (purchased as commercial stock), paramecium symbiont",,,,,,,,,,33783,
,Trebouxiophyceae,Parachlorella kessleri,X56105,50.1,0,,,,NC_012978,123994,30,64.59345,1,51,,                      ,,,,Freshwater,SAG 211-11g,,"USA, NY",29,-2,1003,,,"New York City Climate, Weather By Month, Average Temperature (New York, United States) - Weather Spark",,,,,
,Trebouxiophyceae,Marvania geminata,AF124336,49.6,0,,,,KM462888,108470,38.2,64.69346,1,51.5,,,,,,Freshwater,SAG 12.88,,former Czechoslovakia,25,-5,458.6,,,"Prešov Climate, Weather By Month, Average Temperature (Slovakia) - Weather Spark",,,,,
,Ulvophyceae,Cephaleuros virescens,KM020147,50,0,,,,MW822747,314936,36.1,15.12561,0,35.9,,,,,,Terrestrial,SAG 42.85,,"Taiwan, Pintong, parasite on leaves of Syzygium samarangense	",33,15,1431.4,,,"Pingtung Climate, Weather By Month, Average Temperature (Taiwan) - Weather Spark",,,,,
,Ulvophyceae,Cephaleuros tumidae-setae,KX586973 ,50.3,0,,,,MW822748,282795,33.2,16.62759,0,32.3,,,,,,Terrestrial,"YN1223, cp - BN 17",,"Xishuangbanna Tropical Botanical Garden (Yunnan Province, China)",26,5,593.4,,,"Longquan Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Ulvophyceae,Cephaleuros karstenni,MT507299,50.3,0,,,,MZ334628,371192,29.9,11.85963,0,35.1,,,,,,Terrestrial,GD1942,,"South China Botanical Garden (Guandong Province, China)",33,11,1497,,,"Guangzhou Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Ulvophyceae,Cephaleuros parasiticus,MT507322,50.2,0,,,,MZ334627,266729,35.9,17.90919,0,35.8,,,,,,Terrestrial,GD1927,,"South China Botanical Garden (Guandong Province, China)",33,11,1497,,,"Guangzhou Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Ulvophyceae,Trentepohlia sp.,KX586986,49.8,0,,,,MZ334625,216308,25.9,24.77024,0,40.1,,,,,,Terrestrial,YN1242,,"Xishuangbanna Tropical Botanical Garden (Yunnan Province, China)",26,5,593.4,,,"Longquan Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Ulvophyceae,Trentepohlia sp.,KX586994,49.8,0,,,,MZ334626,408697,31.7,12.46376,0,32.3,,,,,,Terrestrial,YN1317,,"Xishuangbanna Tropical Botanical Garden (Yunnan Province, China)",26,5,593.4,,,"Longquan Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Ulvophyceae,Trentepohlia odorata,KX586879,50.4,0,,,,MK580484,399372,29.8,20.37048,47,35.9,,,,,,Terrestrial,DZ1317,,"Hainan Tropical Botany Garden, China, Hainan, Danzhou",33,16,1320.9,,,"Changliu Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Ulvophyceae,Caulerpa ashmeadii,,,,,,,NC_045914,135722,33.3,49.62423,0,35.9,NC_045849,197427,54.7,10.8,39,Marine,TS1851,,"Howard Park, Tarpon Springs, Florida",32,12,1150.3,,,"Tarpon Springs Climate, Weather By Month, Average Temperature (Florida, United States) - Weather Spark",,,,21400,
,Ulvophyceae,Caulerpa okamurae,,,,,,,KX809677   ,148274,34.5,46.75533,6,,,,,,,Marine,,,"Qingdao, China, 36°19?30.3?N, 120°40?19.6?E",28,-3,544.3,,,"Qingdao Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Ulvophyceae,Rhipilia penicilloides,"MH894202 (short, GC 53, no introns)",,,,,,NC_037365,105774,37.7,68.49604,4,,,,,,,Marine,HV04325,,,,,,,,,,,,,
,Ulvophyceae,Tydemania expeditionis,,,,,,,NC_026796,105200,32.8,63.5038,11,37.4,,,,,,Marine,FL1151,,Philippines:Siquijor,31,25,1191.5,,,"Siquijor Climate, Weather By Month, Average Temperature (Philippines) - Weather Spark",,,,,
,Ulvophyceae,Bryopsis plumosa,,,,,,,NC_026795,106859,30.8,61.97513,14,47.2,,,,,,Marine,West4718,,"France:Traon Erch, Brittany",21,5,640.7,,,"Brest Climate, Weather By Month, Average Temperature (France) - Weather Spark",,,,,
,Ulvophyceae,Codium arenicola,,,,,,,NC_037366,83933,29.1,76.15956,10,,,,,,,Marine,HV04071,,,,,,,,,,,,,
,Ulvophyceae,Ignatius tetrasporus,AB110439,50.4,0,HE610121,50.4,0,NC_034712,239387,37,41.51771,10,46.6,,,,,,Terrestrial,UTEX 2012,,unknown,,,,,,,,,,,
,Ulvophyceae,Pseudocharacium americanum,AB110440,50.3,0,,,,NC_034711 ,239448,37,41.49711,10,46.6,,,,,,Freshwater,UTEX 2112,,"Comal Co., Texas, USA, epiphyte on Oedogonium sp., Guadalupe River",35,5,680,,,"Northcliff Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,,
,Ulvophyceae,Gloeotilopsis planctonica,Z28970,47.9,1,,,,KX306824   ,221431,31.5,35.56864,29,49,,,,,,Freshwater,SAG 29.93,,"Czech Republic, Trebon, soil from shore af a lake at Suchdol",24,-4,437.8,,,"T?ebo? Climate, Weather By Month, Average Temperature (Czechia) - Weather Spark",,,,,
,Ulvophyceae,Gloeotilopsis sarcinoidea,Z47998,47.9,2,,,,KX306821  ,262888,31.5,30.38062,27,48.7,KX306822,85108,34.1,39.7,5,Terrestrial,UTEX 1710,,"USA: Texas, Bastrop State Park, Bastrop County",35,5,744.2,,,"Bastrop Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,33817,
,Ulvophyceae,Trichosarcina mucosa,KM020162,47.9,0,,,,NC_034709,227181,37.2,38.36236,17,42.7,,,,,,Terrestrial,SAG 4.90,,"Antarctica, Princess Elizabeth Land, Vestfold Hills, freshwater",0,-28,203,,,"McMurdo Station Climate, Weather By Month, Average Temperature (Antarctica) - Weather Spark",,,,,
,Ulvophyceae,Pseudendoclonium akinetum,DQ011230 ,48.2,0,,,,AY835431    ,195867,31.5,43.47899,28,49,NC_005926,95880,39.3,34.9,7,Terrestrial,UTEX 1912,,"Fort Davis, Texas, USA, Limpia creek, from Heteranthera limosa",32,-1,257,,,"Fort Davis Climate, Weather By Month, Average Temperature (Texas, United States) - Weather Spark",,,,33417,
,Ulvophyceae,Ulva fenestrata,,,,,,,NC_053612 ,94654,25.3,69.566,1,47.4,NC_053629,59026,35.4,38.8,2,Marine,U64,,"Ireland, 53.485138, -10.050604",18,3,950.3,,,"Sligo Climate, Weather By Month, Average Temperature (Ireland) - Weather Spark",,,,22921,
,Ulvophyceae,Ulva rigida,,,,,,,NC_053616,118206,26.1,54.05479,10,44.3,MT179359,88416,36.4,32.6,7,Marine,U112,,"Ireland, 53.398106, -9.918258",18,3,950.3,,,"Sligo Climate, Weather By Month, Average Temperature (Ireland) - Weather Spark",,,,28815,
,Ulvophyceae,Ulva flexuosa,,,,,,,KX579943  ,89414,25,79.84879,0,45.8,NC_035809,71545,34.2,52.2,8,Marine,,,"Yellow Sea near Rudong sea area, Jiangsu (N32°31?04.10? E121°25?11.99?)",31,13,1604.3,,,"Rudong Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,37329,
,Ulvophyceae,Ulva prolifera,,,,,,,NC_036137,93066,24.8,76.51989,0,45.9,NC_028538,63845,34,50.4,9,Marine,,,China: Yellow Sea,31,13,1604.3,,,"Rudong Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,32195,
,Ulvophyceae,Neodangemannia microcystis,AJ416104,48.5,0,,,,NC_034713  ,166355,33.7,49.92756,12,42.6,,,,,,Marine,SAG 2022,,"Germany, Helgoland: on old shell in tide pool	",20,1,605.3,,,"Helgoland Climate, Weather By Month, Average Temperature (Germany) - Weather Spark",,,,,
,Ulvophyceae,Oltmannsiellopsis viridis,FN562431,48.1,0,,,,NC_008099 ,151933,40.5,53.1379,10,50.4,NC_008256,56761,33.4,49.2,3,Marine,NIES 360,,"Onagawa Bay, Miyagi, Japan",27,-3,1008.3,,,"Sendai Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,27921,
,Chlorodendrophyceae,Scherffelia dubia,,,,HE610128,49.6,0,NC_029807 ,137161,32.6,70.94436,9,50,MN642088,78958,36,47.2,8,Freshwater,SAG 17.86,,"United Kingdom, Essex, pond in Epping Forest",22,2,460.5,,,"Hatfield Peverel Climate, Weather By Month, Average Temperature (United Kingdom) - Weather Spark",,,,37275,
,Chlorodendrophyceae,Tetraselmis sp.,TSU41900,47.4,0,,,,KU167097,100264,34,76.6277,0,50.1,MN642087,"46,904",31.6,66.4,2,Marine,"RG-07, cp and mt - CCMP 881",,"Seal Rock, Oregon USA, 44.493°N -124.09°W",19,5,1375,,,"Waldport Climate, Weather By Month, Average Temperature (Oregon, United States) - Weather Spark",,,,31138,
,Chlorophyceae,Coelastrella saipanensis,MF407353,47.7,0,,,,NC_042181,196140,30.5,59.12053,14,44.9,,,,,,Terrestrial,FACHB-2138,,"Luoyang, Henan Province, China (34°24?51??N, 112°36?42??E)",32,-3,511.1,,,"Luoyang Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Chlorophyceae,Pseudopediastrum boryanum,HM021306,48.2,0,EF078440,51.3,0,NC_037920,206668,31.2,53.75046,0,49.2,MF287901 and others; only coding,,,,,Freshwater,"IL0402MN, 18S from another strain",,"United States of America, Minnesota, Clearwater Co., East Arm Lake Itasca",28,-15,564.3,,,"Clearwater Climate, Weather By Month, Average Temperature (Minnesota, United States) - Weather Spark",,,,,
,Chlorophyceae,Colemanosphaera angeleri,,,,,,,MH511734  ,192954,31.3,49.59835,0,52.5,MN431475,17343,38.5,63.1,2,Freshwater,FACHB-2363,,"Weihe (36°30?2? N, 119°24?44? E), Weifang, Shandong Province, China",32,-7,484.7,,,"Weifang Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,10951,
,Chlorophyceae,Volvox africanus,,,,,,,NC_039755,245738,34.9,36.24633,10,52,,,,,,Freshwater,NIES-3780,,"Lake Biwa, Oroshimo-cho, Kusatsu Shiga, Japan",31,0,1376.6,,,"Kusatsu Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,,
,Chlorophyceae,Chaetophoropsis polyrhiza,MF497328,49.2,0,,,,NC_047431  ,214786,31.1,40.20886,25,50.1,,,,,,Freshwater,HB201646,,"Hubei province, China. Wuhan Botanical Garden, Chinese Academy of Sciences, on water grasses in a pool,",24,-18,317.6,,,"Hubei Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Chlorophyceae,Uronema confervicola,MK250084,49.6,0,,,,NC_047430    ,182093,27.2,51.77739,28,45.7,,,,,,Freshwater,LY201701,,"Henan province, China, on water grasses in a river, freshwater",27,-27,388.3,,,"Henan Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Chlorophyceae,Aphanochaete elegans,MK250083,48.6,0,,,,MN701585 ,150157,23.9,64.73291,2,50.8,,,,,,Freshwater,HB201732,,"Hubei province, China, on the water grass, freshwater",24,-18,317.6,,,"Hubei Climate, Weather By Month, Average Temperature (China) - Weather Spark",,,,,
,Chlorophyceae,Oedogonium capilliforme,,,,,,,MW250874   ,195349,29.4,57.26315,28,47.6,,,,,,Freshwater,269-2_chl,,,,,,,,,,,,,
,Pedinophyceae,Pedinomonas minor,HE610132,48.4,2,HE610132,50.4,2,FJ968740,98340,34.8,74.46614,0,52.7,NC_000892,25137,22.2,57.2,1,Freshwater,SAG 1965-3=UTEX 1350,,"Slovakia, plankton of River Danube at Bratislava	",27,-3,416.3,,,"Bratislava Climate, Weather By Month, Average Temperature (Slovakia) - Weather Spark",,,,14367,
,Pedinophyceae,Pedinomonas tuberculata,HE610134,49.2,0,HE610134,51.2,0,NC_025530  ,126694,33.4,56.48492,13,53.1,,,,,,Terrestrial,SAG 42.84,,"Switzerland, Unterengadin, Natl. Park Munt la Schera, soil from 2300 m",25,-3,983.3,,,"Zürich Climate, Weather By Month, Average Temperature (Switzerland) - Weather Spark",,,,,
,Pedinophyceae,Marsupiomonas sp,JN592592,50.1,0,,,,KM462870 ,94262,40.3,75.43761,0,52.9,MN782006,24252,51.4,81.3,0,Marine,"NIES-1410, cp NIES 1824",,"Isonoura Beach, Wakayama, Wakayama, Japan",31,4,1535,,,"Wakayama Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,,19722,
,Prasinophytes,Prasinoderma coloniale,U40920,47.3,0,HE610143,52.1,0,NC_024817,77750,34.1,84.1,0,50.3,NC_023355,54546,45.8,56.3,8,Marine,"CCMP1413 - 28S, CCMP 1220 - cp, mt, 18S",,"23°N -75°W, Gulf of Mexico, Gulf Stream (lat long very approximate)",31,13,558.9,,,"Las Higuerillas Climate, Weather By Month, Average Temperature (Mexico) - Weather Spark",,,65406,30706,
,Prasinophytes,Prasinophyceae sp.,AB058375,47.1,0,,,,KJ746602,72423,37.9,86.7,0,50.4,MN662311,37590,44.9,90,0,Marine,MBIC10622 = NBRC:102842,,"International waters, Pacific Ocean (11.060000,135.040000)",32,24,1211.4,,,"Cebu City Climate, Weather By Month, Average Temperature (Philippines) - Weather Spark",,,62764,33831,
,Prasinophytes,Prasinococcus sp.,AF203400,47,0,,,,KJ746597,85590,32.1,85.8,0,45.7,MN662312,41006,40.2,82.1,3,Marine,CCMP1194,,"23°N -75°W, Gulf of Mexico, Gulf Stream (lat long very approximate)",33,19,673.6,,,"Andros Town Climate, Weather By Month, Average Temperature (Bahamas) - Weather Spark",,,73479,33668,
,Prasinophytes,Pyramimonas parkeae,FN562443,47.3,0,HE610154,51.1,0,FJ493499 ,101605,34.7,73.6,1,51.9,NC_031504,43294,31.2,74.4,2,Marine,"18s, 28s and cp - CCMP726, mt SCCAP K-0007",,"36.64°N -121.93°W, Hopkins Marine Station, Pacific Grove, California USA (the other is from Wainui, Akaroa Harbour, New Zealand)",20,7,456.1,,,"Pacific Grove Climate, Weather By Month, Average Temperature (California, United States) - Weather Spark",,,74770,32195,
,Prasinophytes,Monomastix sp.,FJ493496,48.8,0,HE610147,54.7,0,FJ493497 ,114528,39,50.5,6,49.8,NC_022797,60883,40.1,54.4,8,Freshwater,"OKE-1, 28S is from M0722",,New Zealand,20,7,695.6,,,"Wellington Climate, Weather By Month, Average Temperature (New Zealand) - Weather Spark",,,57824,33100,
 Choricystis-Botryococcus clade,Trebouxiophyceae,Botryococcus braunii,FJ807044,50.8,0,,,,LT545991,156498,41.5,53.8,0,55.1,LT545992,129356,50.3,42,2,Freshwater,Showa,,"UC Berkeley, CA, lily-culturing tanks located in a greenhouse ",24,6,475.5,,,"Berkeley Climate, Weather By Month, Average Temperature (California, United States) - Weather Spark",,,84141,54284,probably additional introns in rRNA
 Choricystis-Botryococcus clade,Trebouxiophyceae,Choricystis minor,AY762605,49.4,3,,,,KM462878 ,94206,45.4,79.2,0,52.4,,,,,,Freshwater,SAG 17.98,,"Germany, Göttingen, basin in warm greenhouse in Bot. Garden",24,-1,497.2,,,"Göttingen Climate, Weather By Month, Average Temperature (Germany) - Weather Spark",,,74654,,
 Choricystis-Botryococcus clade,Trebouxiophyceae,Coccomyxa subellipsoidea,AC277041,50.5,1, AC277041,52.8,0,NC_015084,175731,50.7,43.9,1,55.6,HQ874522,65497,53.2,48.3,5,Terrestrial,C-169 = NIES 2166,,"Marble Point Antarctica, dried algal peat",0,-28,203,,,"McMurdo Station Climate, Weather By Month, Average Temperature (Antarctica) - Weather Spark",,,77189,31649,
 Choricystis-Botryococcus clade,Trebouxiophyceae,Elliptochloris bilobata,EF688289,51.2,0,,,,KM462887,134677,45.8,56.7,3,54.6,,,,,,Terrestrial,CAUP H7103,,"Indonesia, Cibodas Botanical Garden, bark sample of Cleistocalyx operculata in mountain rainforest 1300 m a.s.l.",32,20,1866.3,,,"Ciranjang-hilir Climate, Weather By Month, Average Temperature (Indonesia) - Weather Spark",,,76371,,
 Choricystis-Botryococcus clade,Trebouxiophyceae,Trebouxiophyceae sp.,not the same,,,,,,NC_018569,149707,57.7,51.4,5,58.4,NC_018568,74423,53.4,42.6,10,Freshwater,MX-AZ01,,"acidic geothermal lake at Los Azufres, Mexico",25,3,549.6,,,"Senguio Climate, Weather By Month, Average Temperature (Mexico) - Weather Spark",,,77018,31735,
Geminella clade,Trebouxiophyceae,Geminella minor,AF387150,50.3,0,,,,KM462883,129187,27.9,60.3,2,52.5,,,,,,Freshwater,SAG 22.88,,"Portugal, S. Estrela, Lagoa do Lageado	",29,0,798.5,,,"Covilhã Climate, Weather By Month, Average Temperature (Portugal) - Weather Spark",,,77913,,
Geminella clade,Trebouxiophyceae,Geminella terricola,AF387152,49.6,1,,,,KM462881,187843,32.7,42.6,2,52.8,,,,,,Freshwater,SAG 20.91,,"Portugal, S. Estrela, Lagoa compoida	",29,0,798.5,,,"Covilhã Climate, Weather By Month, Average Temperature (Portugal) - Weather Spark",,,79962,,
Geminella clade,Trebouxiophyceae,Gloeotilopsis sterilis,EU434020,49.9,0,,,,KM462877,132626,29.5,58.8,4,45.3,,,,,,Terrestrial,UTEX 1704 = SAG 8.88,,"USA, AL, soil from Dauphin Island",31,8,1405.8,,,"Dauphin Island Climate, Weather By Month, Average Temperature (Alabama, United States) - Weather Spark",,,77924,,
Oocystaceae,Trebouxiophyceae,Oocystis solitaria,AF228686,50.9,0,,,,FJ968739,96287,29,71.6,2,52.7,,,,,,Freshwater,"SAG 83.80, same as CCAP 257/3; UTEX 418 as O. apiculata; CAUP H 1104; former SAG 257-4",,France,,,,,,,,,68981,,
 Prasiolales,Trebouxiophyceae,Edaphochlorella mirabilis,LT560369,49.6,0,,,,KM462865,167972,31.5,47.6,0,50.6,,,,,,Terrestrial,SAG 38.88,,"Russia, district of Nowgorod, soil from Mjakischevo",24,-13,374.1,,,"Nizhniy Novgorod Climate, Weather By Month, Average Temperature (Russia) - Weather Spark",,,80031,,
 Prasiolales,Trebouxiophyceae,Pabia signiensis,AJ416108,48.4,0,,,,KM462866,236463,33.4,36.2,0,49.6,,,,,,Terrestrial,SAG 7.90,,"Antarctica, South Orkney Islands, Signy Island, soil	",0,-28,203,,,"McMurdo Station Climate, Weather By Month, Average Temperature (Antarctica) - Weather Spark",,,85501,,
 Prasiolales,Trebouxiophyceae,Stichococcus bacillaris,EU434029,48.6,1,HE610125,54.3,0,KM462864,116952,31.9,79.3,5,46.9,,,,,,,UTEX 176 = SAG 335-3; ATCC 30444; CCAP 335/3 ; 28s from SAG 379-2 which is closely related per 18s blast,,unknown,,,,,,,,,92716,,
 Prasiolales,Trebouxiophyceae,Prasiolopsis sp.,AY762601,49.9,0,,,,KM462862,306152,35.1,27.9,8,40.4,,,,,,Terrestrial,SAG 84.81,,"Brazil, Amazonia, from hairs of the sloth Bradypus tridactylus	",34,22,1504.4,,,"Itupiranga Climate, Weather By Month, Average Temperature (Brazil) - Weather Spark",,,85481,,
 Prasiolales,Trebouxiophyceae,Symbiochloris handae,Z47207,51.4,0,,,,KM462860,289394,35.9,30.2,8,53.7,,,,,,Terrestrial,"SAG 2150 = 	CCHU 5616",,"Japan, western Honshu, Hiroshima Prefecture, Mt. Garyu, phycobiont of lichen Brigantiea ferruginea (Müll. Arg) Kashiw. & Kurok.	",32,1,1337.6,,,"Hiroshima Climate, Weather By Month, Average Temperature (Japan) - Weather Spark",,,87260,,
Watanabeales,Trebouxiophyceae,Kalinella apyrenoidosa,HE984578,50.3,0,,,,unpubl.,183160,38.7,46.02642498,4,48.1,,,,,,Terrestrial,CAUP H7902,,"bark of a Laurus nobilis, Adriatic sea coastline near Ankaran, Slovenia (45.586677, 13.709753)",29,3,812.6,,,"Ankaran Climate, Weather By Month, Average Temperature (Slovenia) - Weather Spark",,,84302,,
,Trebouxiophyceae,Xerochlorella olmae,KF693788,49.3,0,,,,unpubl.,127467,35.2,61.92975437,0,52.4,unpubl.,74586,29.6,,,Terrestrial,UTEX B 2993 = EM3VF21,,"Mojave National Preserve, San Bernardino Co., California, USA",36,6,239,,,"San Bernardino Climate, Weather By Month, Average Temperature (California, United States) - Weather Spark",,,78940,,
,Trebouxiophyceae,Leptochlorella sp.,KF693810,49.3,0,,,,unpubl.,263316,28.3,38.17694329,11,48.4,unpubl.,123371,28.6,,,Terrestrial,UTEX EE84,,"Negev Desert, Israel",33,3,71,,,"Mitzpe Ramon Climate, Weather By Month, Average Temperature (Israel) - Weather Spark",,,100526,,
Watanabeales,Trebouxiophyceae,Viridiella fridericiana,FM958481,52.2,0,,,,unpubl.,138116,37.5,55.30640911,2,52.3,,,,,,Terrestrial,SAG 10-92,,"Italy, Campania, soil from sulphurous vents at Mefite di Ansanto",30,6,625.4,,,"Naples Climate, Weather By Month, Average Temperature (Italy) - Weather Spark",,,76387,,
,Trebouxiophyceae,Muriella sp.,KF693791,49.7,0,,,,unpubl.,95191,35,72.70645334,1,52.4,,,,,,Terrestrial,ANP1VF4,,"Arches National Park, San Juan Co., Utah, USA",35,-7,179.9,,,"Arches National Park Climate, Weather By Month, Average Temperature (Utah, United States) - Weather Spark",,,69210,,
,Trebouxiophyceae,Eremochloris sphaerica,KF693793,49.5,0,,,,unpubl.,160564,27.6,48.17144565,1,51.7,,,,,,Terrestrial,MX219VF25,,"Baja California, Mexico",32,12,142.8,,,"Vicente Guerrero Climate, Weather By Month, Average Temperature (Mexico) - Weather Spark",,,77346,,
,,,TESTs DOWNLOAD AS CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DO ANOVA AND CORRELATION PLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CP vs habitat,,ANOVA,,,,,,,,,,,,,,,,,,,,,,,,Other links used:,,,,,
,,,rrs gene vs temp,,correlation,,,,,,,,,,,,,,,,,,,,,,,,Latitude and Longitude Finder on Map Get Coordinates (latlong.net),,,,,
,,,prepicaption vs cp,,correlation,,,,,,,,,,,,,,,,,,,,,,,,Calculate the sum of a list of numbers - Online Tools (onlinetoolz.net),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://sagdb.uni-goettingen.de/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://botany.natur.cuni.cz/algo/caup-list.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,www.utex.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,couple additional volvocales genomes here: https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2019.01351/full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,additional OCC taxa,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7320567/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
